	IDs	BRNACC	ARTCRN	BRNHPT	HRTLV	ADPVSC	CLNTRN	PNCREAS	TESTIS	LUNG	ADRNLG	BREAST	BLDDER	SKINS	SPLEEN	BRNAMY	BRNCHB	BRNCDT	BRNCTXB	KDNCTX	PRSTTE	BRNHPP	UTERUS	CLNSGM	ESPMCS	PTTARY	SKINNS	ESPGEJ	ARTTBL	LCL	MSCLSK	SNTTRM	BRNSNG	THYROID	STMACH	FIBRBLS	VAGINA	BRNPTM	LIVER	BRNNCC	BRNSPC	WHLBLD	ADPSBQ	OVARY	SLVRYG	HRTAA	BRNCHA	ESPMSL	BRNCTXA	ARTAORT	NERVET
0	ENSG00000000457					0.00193013	0.0013425000000000002		0.00435127	0.012695	0.000627498	0.00970154		0.00320144	0.00156751		0.00520894				0.00106885		0.00134721	0.00140035	0.00113845		0.00759805		0.0136734	0.000656589	0.014205700000000002	0.00131992		0.0139644	0.00449298		0.00685957					0.0215263	0.0106741	0.00147325			0.00925716	0.00280831			0.0135495
1	ENSG00000000460								0.000480777																					0.000628409				0.0177022								0.007760899999999999									
2	ENSG00000000938									0.00732193																																0.0031874000000000004									
3	ENSG00000000971		0.00669128		0.00163676	0.00500368	0.00806776		0.00125606	0.00645497	0.0027521	0.00833934		0.0129173							0.014502000000000001			0.00996963	0.00602925		0.012006399999999999	0.00963212	0.0109651		0.006432899999999999	0.00435992		0.0073583	0.008864	0.00717134			0.00527869				0.010892299999999999	0.0138143	0.00587697	0.012939500000000001		0.011738600000000002		0.00895246	0.0146208
4	ENSG00000001036	0.000457818	0.00485927	0.0008339069999999999	0.00210458	0.00407205	0.00114564	0.00360722	0.000878797	0.00280314	0.00394664	0.00478267		0.0167731	0.00304384	0.00521333	0.000970697	0.00128251	0.00046377699999999996		0.0065593000000000005	0.000507759	0.0005067019999999999	0.00214316	0.00045648199999999997	0.00944865	0.00700795	0.00150966	0.00758863	0.00910237	0.00809638	0.000620412	0.00673903	0.00213782	0.00348204	0.00121231	0.00275754	0.0007172989999999999	0.00686451	0.0060076999999999995	0.00100129	0.0127443	0.00443337	0.00648789	0.00087726	0.00222369	0.000451789	0.00575261	0.00042922	0.00486013	0.00364009
5	ENSG00000001460								0.00764739								0.000521613																														0.0029425999999999996				
6	ENSG00000001461	0.00218583		0.00208024	0.00746374	0.0166732	0.00193542	0.00801507		0.014936000000000001	0.00180525			0.0160503		0.000928661	0.00294455	0.00529939	0.000764114		0.00405228	0.00178676		0.00823609	0.0115596	0.00903312	0.00841175					0.00612799	0.00418905	0.00901222	0.0008499930000000001	0.00514494		0.000324353		0.0029533000000000003	0.0030622					0.00120441	0.00365231	0.011918799999999998	0.00098298		0.039239800000000005
7	ENSG00000001561	0.00262356	0.0210087	0.00550804	0.0137374	0.015381799999999998	0.0109598	0.000918793	0.00376182	0.025707799999999996	0.028012099999999998	0.018195			0.016923900000000002	0.006514100000000001	0.00496277	0.00740659	0.0100878		0.010566299999999999	0.00242476		0.00824214		0.00631454		0.0162339	0.030292799999999998	0.00771973	0.00949903	0.0125196		0.0168641	0.0104083			0.00862319		0.00934436	0.00213028		0.0205182			0.009605200000000001	0.000790863	0.0107618	0.00496498	0.0293584	0.0192202
8	ENSG00000001617		0.00916171		0.00886114	0.00444631	0.00717146			0.0038191		0.00685348		0.00446131	0.00950271						0.00429543		0.00852351	0.00387537	0.00134129	0.0012832	0.0014018	0.000544161	0.00947575		0.00055035			0.00311312	0.00278554		0.0008765919999999999						0.00538658			0.00739713		0.00112234		0.00617743	0.0134625
9	ENSG00000001626						0.00425135	0.00436843																																											
10	ENSG00000001629	0.0052561000000000005	0.0122737			0.010004700000000002	0.00663416	0.0035259	0.00215284	0.011448700000000001	0.000438526	0.00628317		0.013903700000000001	0.00175294		0.00961813	0.00460797	0.000500445		0.00183256	0.00134662		0.00182476	0.000597871	0.015438999999999998	0.0045601999999999995	0.0039102	0.0109169	0.000724872	0.0202463	0.010962200000000002		0.0136661	0.00746162	0.00183557	0.00633529			0.011101100000000001			0.00996167	0.0009860160000000001		0.00656877	0.00165509	0.00390627	0.00327502	0.0017635	0.0141264
11	ENSG00000001630	0.0026046	0.0170619	0.00465655		0.00442582	0.00221038	0.00835756	0.00244451	0.0061126	0.000467271	0.0170704		0.0132357			0.00241389	0.012415100000000002			0.0159136	0.00161394		0.00229091	0.00304868	0.00873585	0.00670682	0.0123479	0.00948289	0.00415525		0.00149551		0.010135	0.00240683	0.00426989	0.00154409		0.00262939				0.00699364	0.00201095		0.00749215	0.00419252	0.00969592	0.00380688	0.0132239	0.00592742
12	ENSG00000001631					0.0123333				0.00448561				0.00114514											0.00042321300000000003		0.00190298		0.0087852		0.0131678			0.00217048		0.0006215519999999999							0.0119064			0.00109832		0.00883616			0.010720700000000001
13	ENSG00000002016		0.01626			0.014243899999999999	0.013387600000000001		0.00240473	0.029283299999999998	0.019082400000000003	0.0234965		0.0292053	0.019324200000000003		0.0138764	0.014571200000000001	0.00137048		0.0112352		0.0132076	0.024240900000000003	0.022871400000000004	0.00874094	0.0197983	0.0211118	0.00750241		0.0264401	0.00431386		0.016553099999999998	0.0125163	0.00714898	0.0112951			0.0154153			0.0189442	0.00329174		0.013818899999999999	0.0144172	0.0065891000000000005	0.021529200000000002	0.0163015	0.0148226
14	ENSG00000002330				0.00274189	0.00125688	0.0007358730000000001	0.000718581	0.00051631	0.00195362	0.000288096	0.000217815		0.00117				0.000631032						0.0007908910000000001	0.00208409	0.00180824	0.000607081	0.0005738259999999999	0.00169337		0.00387807			0.00067208	0.000591277	0.000799942						0.00104549	0.00101754			0.00165313	0.000983704	0.0005749780000000001		0.00049146	0.00336288
15	ENSG00000002549		0.00291352		0.00612334	0.00421205	0.00398374	0.00124116	0.00625688	0.00334441	0.00528355	0.00491098		0.00460183	0.00870023			0.00762098						0.00501883	0.00453889	0.000571763	0.00857786	0.00346219	0.00601483	0.00381724	0.00866863	0.0121995		0.00590464	0.00143383	0.00864639			0.011217200000000002			0.020085299999999997	0.00395076			0.00289851		0.00231188	0.011146399999999999	0.000857813	0.00146642
16	ENSG00000002587																0.00760245								0.00521427																						0.00607619				
17	ENSG00000002726						0.00515067																									0.00852237																			
18	ENSG00000002745													0.056739099999999994													0.060864800000000004																								
19	ENSG00000002746								0.000878181										0.00109525																														0.00231456		
20	ENSG00000002822					0.011392200000000002	0.00877712		0.000522339	0.00167726		0.00306118		0.00722718	0.0209699		0.00051091	0.0122847	0.00207347		0.0059228			0.00398752	0.0046042999999999995	0.00968571	0.0108477	0.00667954	0.011116599999999999	0.00662124	0.00984791			0.00216947		0.006329100000000001		0.00871089		0.00090838		0.046544800000000004	0.00210078			0.0219053	0.00223684	0.00061989	0.00414207	0.00750325	0.012493700000000002
21	ENSG00000002834	0.00151527	0.00216959	0.00179941	0.00206262	0.00160279	0.0006050669999999999	0.000463879	0.00178714	0.0017289999999999999	0.00319511	0.00230672		0.00600122	0.00160793	0.00843329	0.00554786	0.00200576	0.00136627		0.000811173	0.0009576710000000001	0.00127622	0.00383874	0.000883515	0.00191688	0.00459063	0.000607722	0.00138334	0.00078918	0.018912	0.000769806	0.00201652	0.00292985	0.00218152	0.000432066	0.00038595199999999995	0.000848563	0.00704347	0.000782261	0.0007156430000000001	0.00268826	0.00210649	0.000989424	0.0008496510000000001	0.00322846	0.0004925309999999999	0.00313336	0.00168771	0.00264967	0.00223986
22	ENSG00000002919					0.00610248	0.00783701		0.00288518	0.00788218	0.00455892	0.0134285		0.0218759	0.0112266									0.00180444	0.00603081		0.0213157	0.00491058	0.00682663	0.00168841	0.010012			0.0116787	0.00410642	0.00620652						0.0146159	0.0167929					0.00804104		0.0052195	0.017736599999999998
23	ENSG00000002933	0.012761	0.044924	0.0133221	0.134499	0.030186400000000002	0.0141429	0.10052699999999999	0.059309	0.03549480000000001	0.081251	0.034290100000000004		0.0494586	0.050729199999999995	0.020447200000000002		0.011416299999999999	0.0126301		0.0659216	0.012702100000000001	0.05221990000000001	0.012348999999999999	0.0112065	0.0313118	0.0358435	0.0297149	0.0844964			0.0125517	0.0166105	0.07699550000000001	0.0211907	0.43542700000000006	0.0166757	0.00733269	0.0263282	0.00866396	0.0185495	1.1893200000000002	0.0442473	0.0199433	0.0278782	0.08059329999999999		0.0290492	0.010170499999999999	0.046254	0.022135299999999997
24	ENSG00000003056									0.0027351																																									
25	ENSG00000003137					0.044014599999999994			0.00331975			0.0236778		0.0105836			0.00341092										0.00707763							0.00775533									0.0169957				0.00159545				0.013100200000000001
26	ENSG00000003147				0.011784600000000001	0.00308467	0.00137602	0.00230288	0.000555252	0.0113881		0.00195888		0.0121256			0.00113181	0.00315138	0.0008762080000000001		0.0039643000000000005					0.00126355	0.014129499999999998							0.00131317	0.00044244699999999995					0.000452365			0.00934396			0.00138232	0.00145233		0.00160089		
27	ENSG00000003249																								0.00798221						0.0236024																				
28	ENSG00000003393				0.00047141					0.00856945				0.000926462			0.0009450519999999999														0.000989021			0.00199767		0.00146131							0.0120236			0.000511112	0.00101099				0.013203999999999999
29	ENSG00000003400					0.00178197	0.00151623			0.00234874					0.0012305999999999999										0.017637																	0.0134673	0.006418699999999999								
30	ENSG00000003402		0.00360695	0.00158466	0.00356781	0.00392135	0.00363201	0.00205131	0.0006367780000000001	0.00459528	0.000725877	0.00247375		0.00466131	0.00271503		0.00254525	0.00956172			0.00135108	0.00846841	0.00461133	0.00122994	0.0052274999999999995	0.00777851	0.00289199	0.00320818	0.00529311	0.00820323	0.00311895	0.00136217		0.00440329	0.00419665	0.00074246	0.00549814		0.00129254	0.00132956		0.00558383	0.00393725	0.0010489000000000002	0.000655241	0.00359403	0.00141159	0.00309076		0.0013802999999999999	0.00258334
31	ENSG00000003436		0.0174887			0.00354107				0.00917741		0.00203058																0.00858808	0.0144333		0.0274877			0.00263642		0.00362094			0.00402204				0.00495374					0.0137187			0.0030375999999999997
32	ENSG00000003756	0.000592846	0.00104652	0.00138922	0.000597042	0.00107326	0.00111327	0.00187232	0.0009109410000000001	0.00125859	0.00267214	0.00197399		0.0015748	0.000812607	0.000367892	0.0007862660000000001	0.0013577	0.000698388		0.0006709519999999999	0.00154868	0.0013516	0.00166486	0.00228881	0.00112654	0.00126781	0.00126702	0.00134589	0.00093488	0.000589961	0.0009720000000000001		0.00135467	0.00197649	0.000592073	0.0008245189999999999	0.000880767	0.00215658	0.0005288609999999999		0.00304066	0.00164704	0.0006157999999999999		0.00125655	0.000487704	0.00143169	0.00125415	0.00139086	0.00123918
33	ENSG00000003987			0.012619700000000001													0.00035392400000000004		0.00193179							0.00109276														0.00775365							0.00324872				
