	IDs	All_GEUVADIS
0	ENSG00000000457	0.000485801
1	ENSG00000000460	0.00611099
2	ENSG00000001561	0.00529901
3	ENSG00000001629	0.000530739
4	ENSG00000001630	0.00695464
5	ENSG00000001631	0.00321383
6	ENSG00000002330	0.0036427
7	ENSG00000002549	0.0036692
8	ENSG00000002549	0.00131308
9	ENSG00000002822	0.00359711
10	ENSG00000002834	0.0022923
11	ENSG00000002919	0.00108365
12	ENSG00000003249	0.0816879
13	ENSG00000003402	0.00269641
14	ENSG00000003509	0.026518700000000003
15	ENSG00000003756	0.000587246
16	ENSG00000004139	0.00806327
17	ENSG00000004142	0.000770937
18	ENSG00000004455	0.00177141
19	ENSG00000004468	0.0072867999999999995
20	ENSG00000004534	0.00512232
21	ENSG00000004700	0.00154806
22	ENSG00000004779	0.000273228
23	ENSG00000004864	0.000270736
24	ENSG00000004897	0.000870542
25	ENSG00000004975	0.00047144099999999996
26	ENSG00000005007	0.0007201989999999999
27	ENSG00000005020	0.00646751
28	ENSG00000005059	0.00137014
29	ENSG00000005075	0.00155769
30	ENSG00000005100	0.0008511539999999999
31	ENSG00000005156	0.00115487
32	ENSG00000005194	0.000390804
33	ENSG00000005206	0.000831485
34	ENSG00000005339	0.000531362
35	ENSG00000005436	0.00384393
36	ENSG00000005483	0.000250055
37	ENSG00000005486	0.00103947
38	ENSG00000005700	0.000861727
39	ENSG00000005801	0.00283635
40	ENSG00000005810	0.00039595
41	ENSG00000005844	0.00380791
42	ENSG00000005844	0.00596876
43	ENSG00000006007	0.00351911
44	ENSG00000006015	0.00266415
45	ENSG00000006125	0.00165021
46	ENSG00000006194	0.000249676
47	ENSG00000006282	0.21240599999999998
48	ENSG00000006451	0.000208446
49	ENSG00000006453	0.0456459
50	ENSG00000006576	0.00180801
51	ENSG00000006607	0.000481571
52	ENSG00000006625	0.00287139
53	ENSG00000006652	0.00245145
54	ENSG00000006695	0.00131865
55	ENSG00000006715	0.00115008
56	ENSG00000006744	0.0025507
57	ENSG00000006831	0.0007289489999999999
58	ENSG00000007047	0.000248899
59	ENSG00000007080	0.00314004
60	ENSG00000007129	0.030127499999999998
61	ENSG00000007168	0.00034298
62	ENSG00000007202	0.00250346
63	ENSG00000007237	0.0211041
64	ENSG00000007312	0.0012102
65	ENSG00000007376	0.00245059
66	ENSG00000007541	0.00152872
67	ENSG00000007923	0.00212643
68	ENSG00000007944	0.00933129
69	ENSG00000008018	0.00150536
70	ENSG00000008083	0.00282575
71	ENSG00000008128	0.11344800000000001
72	ENSG00000008130	0.00277801
73	ENSG00000008256	0.0353548
74	ENSG00000008282	0.00424156
75	ENSG00000008294	0.0002886
76	ENSG00000008324	0.00041626
77	ENSG00000008394	0.289135
